wall_time,frame,yaw_deg,status,n_filtered,center_count,path_count
1775098264.276,1,-25.46,ok,0,34,64
1775098264.357,2,-25.16,ok,0,45,75
1775098264.443,3,-20.61,ok,0,57,87
1775098264.532,4,-18.64,ok,0,73,103
1775098264.626,5,-25.99,ok,0,53,83
1775098264.724,6,-26.16,ok,0,76,106
1775098264.815,7,-31.82,ok,0,52,82
1775098264.905,8,-25.27,ok,0,57,87
1775098264.997,9,-22.99,ok,0,33,63
1775098265.087,10,-24.42,ok,0,75,105
1775098265.180,11,-22.62,ok,0,81,111
1775098265.275,12,-25.71,ok,0,58,88
1775098265.370,13,-27.02,ok,0,49,79
1775098265.470,14,-28.05,ok,0,59,89
1775098265.553,15,-29.32,ok,0,47,77
1775098265.652,16,-30.39,ok,0,52,82
1775098265.743,17,-28.36,ok,0,57,87
1775098265.840,18,-30.21,ok,0,54,84
1775098265.933,19,-31.50,ok,0,52,82
1775098266.032,20,-26.26,ok,0,79,109
1775098266.127,21,-21.57,ok,0,76,106
1775098266.224,22,-21.81,ok,0,60,90
1775098266.319,23,-31.42,ok,0,41,71
1775098266.403,24,-25.75,ok,0,67,97
1775098266.490,25,-24.09,ok,0,49,79
1775098266.594,26,-22.70,ok,0,59,89
1775098266.686,27,-24.22,ok,0,47,77
1775098266.781,28,-24.04,ok,0,64,94
1775098266.882,29,-30.33,ok,0,51,81
1775098266.988,30,-29.20,ok,0,61,91
1775098267.079,31,-29.25,ok,0,82,112
1775098267.177,32,-26.30,ok,0,74,104
1775098267.273,33,-30.90,ok,0,66,96
1775098267.363,34,-30.35,ok,0,82,112
1775098267.449,35,-29.61,ok,0,56,86
1775098267.534,36,-28.29,ok,0,71,101
1775098267.632,37,-26.18,ok,0,54,84
1775098267.730,38,-23.86,ok,0,51,81
1775098267.829,39,-32.28,ok,0,42,72
1775098267.924,40,-29.79,ok,0,52,82
1775098268.022,41,-28.82,ok,0,54,84
1775098268.103,42,-29.20,ok,0,52,82
1775098268.198,43,-34.80,ok,0,47,77
1775098268.281,44,-38.72,ok,0,78,108
1775098268.373,45,-40.11,ok,0,62,92
1775098268.460,46,-28.89,ok,0,61,91
1775098268.553,47,-30.98,ok,0,67,97
1775098268.647,48,-31.11,ok,0,53,83
1775098268.731,49,-36.14,ok,0,48,78
1775098268.822,50,-39.24,ok,0,65,95
1775098268.919,51,-37.15,ok,0,52,82
1775098269.002,52,-32.07,ok,0,78,108
1775098269.091,53,-32.56,ok,0,52,82
1775098269.181,54,-35.87,ok,0,43,73
1775098269.279,55,-37.29,ok,0,54,84
1775098269.379,56,-41.74,ok,0,43,73
1775098269.472,57,-40.28,ok,0,63,93
1775098269.568,58,-17.70,ok,0,27,57
1775098269.674,59,-22.07,ok,0,76,106
1775098269.768,60,-25.13,ok,0,73,103
1775098269.862,61,-29.29,ok,0,69,99
1775098269.954,62,-7.00,ok,0,31,61
1775098270.057,63,7.13,ok,0,32,62
1775098270.149,64,-10.56,ok,0,62,92
