wall_time,frame,yaw_deg,status,n_filtered,center_count,path_count,px4_status_ok,px4_target_speed,px4_command_speed,px4_raw_yaw_deg,px4_target_yaw_deg,px4_command_yaw_deg,px4_absolute_yaw_deg,px4_velocity_x,px4_velocity_y
1775099092.099,1,5.44,ok,0,43,73,True,0.3000,0.0375,0.0000,0.0000,0.0000,-57.5450,0.0201,-0.0316
1775099092.180,2,7.04,ok,0,42,72,True,0.3000,0.0450,5.4400,1.9040,1.2500,-56.2168,0.0250,-0.0374
1775099092.245,3,4.93,ok,0,43,73,True,0.3000,0.0600,7.0400,2.4640,2.4640,-54.8670,0.0345,-0.0491
1775099092.318,4,1.89,ok,0,44,74,True,0.3000,0.0675,4.9300,1.7255,1.7255,-55.5373,0.0382,-0.0557
1775099092.399,5,-0.23,ok,0,44,74,True,0.3000,0.0825,1.8900,0.6615,0.6615,-56.4635,0.0456,-0.0688
1775099092.479,6,-4.74,ok,0,43,73,True,0.3000,0.0900,-0.2300,-0.0805,-0.0805,-57.1437,0.0488,-0.0756
1775099092.574,7,-6.41,ok,0,41,71,True,0.3000,0.1050,-4.7400,-1.6590,-1.6590,-58.6033,0.0547,-0.0896
1775099092.661,8,14.22,ok,0,26,56,True,0.3000,0.1200,-6.4100,-2.2435,-2.2435,-59.0940,0.0616,-0.1030
1775099092.794,9,11.51,ok,0,33,63,True,0.3000,0.1425,14.2200,4.9770,1.5065,-55.2087,0.0813,-0.1170
1775099092.912,10,-0.78,ok,0,39,69,True,0.3000,0.1500,11.5100,4.0285,2.7565,-53.9188,0.0883,-0.1212
1775099092.995,11,-3.64,ok,0,39,69,True,0.3000,0.1650,-0.7800,-0.2730,0.2565,-56.3031,0.0915,-0.1373
1775099093.080,12,-2.55,ok,0,37,67,True,0.3000,0.1725,-3.6400,-1.2740,-0.9935,-57.5115,0.0927,-0.1455
1775099093.168,13,-1.78,ok,0,38,68,True,0.3000,0.1875,-2.5500,-0.8925,-0.8925,-57.3246,0.1012,-0.1578
1775099093.254,14,-2.81,ok,0,41,71,True,0.3000,0.2025,-1.7800,-0.6230,-0.6230,-56.9583,0.1104,-0.1698
1775099093.351,15,1.88,ok,0,37,67,True,0.3000,0.2175,-2.8100,-0.9835,-0.9835,-57.2166,0.1178,-0.1829
1775099093.434,16,5.89,ok,0,38,68,True,0.3000,0.2325,1.8800,0.6580,0.6580,-55.4667,0.1318,-0.1915
1775099093.519,17,1.79,ok,0,43,73,True,0.3000,0.2400,5.8900,2.0615,1.9080,-54.1622,0.1405,-0.1946
1775099093.603,18,-7.33,ok,0,44,74,True,0.3000,0.2550,1.7900,0.6265,0.6265,-55.3301,0.1451,-0.2097
1775099093.692,19,-13.71,ok,0,44,74,True,0.3000,0.2700,-7.3300,-2.5655,-1.8735,-57.7137,0.1442,-0.2283
1775099093.810,20,-18.18,ok,0,44,74,True,0.3000,0.2850,-13.7100,-4.7985,-4.3735,-60.0984,0.1421,-0.2471
1775099093.947,21,-21.31,ok,0,44,74,True,0.3000,0.3000,-18.1800,-6.3630,-6.3630,-61.9039,0.1413,-0.2646
1775099094.067,22,-23.50,ok,0,44,74,True,0.3000,0.3000,-21.3100,-7.4585,-7.4585,-62.8475,0.1369,-0.2669
1775099094.168,23,-22.45,ok,0,41,71,True,0.3000,0.3000,-23.5000,-8.2250,-8.2250,-63.4570,0.1341,-0.2684
1775099094.274,24,-18.80,ok,0,43,73,True,0.3000,0.3000,-22.4500,-7.8575,-7.8575,-62.9315,0.1365,-0.2671
1775099094.380,25,-10.83,ok,0,40,70,True,0.3000,0.3000,-18.8000,-6.5800,-6.5800,-61.4423,0.1434,-0.2635
1775099094.489,26,-6.02,ok,0,39,69,True,0.3000,0.3000,-10.8300,-3.7905,-3.7905,-58.3514,0.1574,-0.2554
1775099094.571,27,-1.13,ok,0,38,68,True,0.3000,0.3000,-6.0200,-2.1070,-2.5405,-56.9860,0.1635,-0.2516
1775099094.658,28,6.55,ok,0,35,65,True,0.3000,0.3000,-1.1300,-0.3955,-0.3955,-54.6117,0.1737,-0.2446
1775099094.758,29,0.74,ok,0,42,72,True,0.3000,0.3000,6.5500,2.2925,2.1045,-51.8943,0.1851,-0.2361
1775099094.848,30,-5.48,ok,0,43,73,True,0.3000,0.3000,0.7400,0.2590,0.2590,-53.5192,0.1784,-0.2412
1775099094.926,31,-8.41,ok,0,39,69,True,0.3000,0.3000,-5.4800,-1.9180,-0.9910,-54.6555,0.1735,-0.2447
1775099095.049,32,-13.22,ok,0,39,69,True,0.3000,0.3000,-8.4100,-2.9435,-2.9435,-56.2703,0.1666,-0.2495
1775099095.161,33,-16.59,ok,0,39,69,True,0.3000,0.3000,-13.2200,-4.6270,-4.6270,-57.7342,0.1602,-0.2537
